object_id,source_row,cluster,profile_label,G1,G2,absences,studytime,failures,G3_post_hoc,attendance_based_support_need,emerging_performance_support_need,compounded_academic_support_need,maximum,union
POR-0001,0,1,higher_academic_support_need_profile,0,11,4,2,0,11.0,0.0,0.0,0.2295,0.2295,0.2295
POR-0002,1,1,higher_academic_support_need_profile,9,11,2,2,0,11.0,0.0,0.0,0.2295,0.2295,0.2295
POR-0003,2,0,stronger_academic_profile,12,13,6,2,0,12.0,0.3,0.0,0.0,0.3,0.3
POR-0004,3,0,stronger_academic_profile,14,14,0,3,0,14.0,0.0,0.0,0.0,0.0,0.0
POR-0005,4,0,stronger_academic_profile,11,13,0,2,0,13.0,0.0,0.0,0.0,0.0,0.0
POR-0006,5,0,stronger_academic_profile,12,12,6,2,0,13.0,0.3,0.0,0.0,0.3,0.3
POR-0007,6,0,stronger_academic_profile,13,12,0,2,0,13.0,0.0,0.0,0.0,0.0,0.0
POR-0008,7,0,stronger_academic_profile,10,13,2,2,0,13.0,0.0,0.0,0.0,0.0,0.0
POR-0009,8,0,stronger_academic_profile,15,16,0,2,0,17.0,0.0,0.0,0.0,0.0,0.0
POR-0010,9,0,stronger_academic_profile,12,12,0,2,0,13.0,0.0,0.0,0.0,0.0,0.0
POR-0011,10,0,stronger_academic_profile,14,14,2,2,0,14.0,0.0,0.0,0.0,0.0,0.0
POR-0012,11,0,stronger_academic_profile,10,12,0,3,0,13.0,0.0,0.0,0.0,0.0,0.0
POR-0013,12,0,stronger_academic_profile,12,13,0,1,0,12.0,0.0,0.0,0.0,0.0,0.0
POR-0014,13,0,stronger_academic_profile,12,12,0,2,0,13.0,0.0,0.0,0.0,0.0,0.0
POR-0015,14,0,stronger_academic_profile,14,14,0,3,0,15.0,0.0,0.0,0.0,0.0,0.0
POR-0016,15,0,stronger_academic_profile,17,17,6,1,0,17.0,0.3,0.0,0.0,0.3,0.3
POR-0017,16,0,stronger_academic_profile,13,13,10,3,0,14.0,0.6,0.0,0.0,0.6,0.6
