source_row,G3,cluster,profile_label
0,11,1,higher_academic_support_need_profile
1,11,1,higher_academic_support_need_profile
2,12,0,stronger_academic_profile
3,14,0,stronger_academic_profile
4,13,0,stronger_academic_profile
5,13,0,stronger_academic_profile
6,13,0,stronger_academic_profile
7,13,0,stronger_academic_profile
8,17,0,stronger_academic_profile
9,13,0,stronger_academic_profile
10,14,0,stronger_academic_profile
11,13,0,stronger_academic_profile
12,12,0,stronger_academic_profile
13,13,0,stronger_academic_profile
14,15,0,stronger_academic_profile
15,17,0,stronger_academic_profile
16,14,0,stronger_academic_profile
17,14,0,stronger_academic_profile
18,7,1,higher_academic_support_need_profile
19,12,1,higher_academic_support_need_profile
20,14,0,stronger_academic_profile
21,12,1,higher_academic_support_need_profile
22,14,0,stronger_academic_profile
23,10,1,higher_academic_support_need_profile
24,10,0,stronger_academic_profile
25,12,1,higher_academic_support_need_profile
26,12,1,higher_academic_support_need_profile
27,11,1,higher_academic_support_need_profile
28,13,0,stronger_academic_profile
29,12,0,stronger_academic_profile
30,11,1,higher_academic_support_need_profile
31,15,0,stronger_academic_profile
32,15,0,stronger_academic_profile
33,12,0,stronger_academic_profile
34,12,1,higher_academic_support_need_profile
35,11,1,higher_academic_support_need_profile
36,14,0,stronger_academic_profile
37,13,0,stronger_academic_profile
38,12,0,stronger_academic_profile
39,12,0,stronger_academic_profile
40,10,1,higher_academic_support_need_profile
41,11,1,higher_academic_support_need_profile
42,15,0,stronger_academic_profile
43,10,1,higher_academic_support_need_profile
44,11,1,higher_academic_support_need_profile
45,11,1,higher_academic_support_need_profile
46,13,0,stronger_academic_profile
47,17,0,stronger_academic_profile
48,13,0,stronger_academic_profile
49,12,0,stronger_academic_profile
50,13,0,stronger_academic_profile
51,16,0,stronger_academic_profile
52,9,1,higher_academic_support_need_profile
53,12,0,stronger_academic_profile
54,13,0,stronger_academic_profile
55,12,0,stronger_academic_profile
56,15,0,stronger_academic_profile
57,16,0,stronger_academic_profile
58,14,0,stronger_academic_profile
59,16,0,stronger_academic_profile
60,16,0,stronger_academic_profile
61,16,1,higher_academic_support_need_profile
62,10,0,stronger_academic_profile
63,13,0,stronger_academic_profile
64,12,0,stronger_academic_profile
65,16,0,stronger_academic_profile
66,12,0,stronger_academic_profile
67,10,0,stronger_academic_profile
68,11,1,higher_academic_support_need_profile
69,15,0,stronger_academic_profile
70,11,0,stronger_academic_profile
71,10,0,stronger_academic_profile
72,11,0,stronger_academic_profile
73,14,0,stronger_academic_profile
74,11,1,higher_academic_support_need_profile
75,11,0,stronger_academic_profile
76,11,0,stronger_academic_profile
77,13,0,stronger_academic_profile
78,10,1,higher_academic_support_need_profile
79,11,1,higher_academic_support_need_profile
80,12,1,higher_academic_support_need_profile
81,9,1,higher_academic_support_need_profile
82,11,0,stronger_academic_profile
83,13,0,stronger_academic_profile
84,12,0,stronger_academic_profile
85,12,0,stronger_academic_profile
86,11,0,stronger_academic_profile
87,15,0,stronger_academic_profile
88,11,1,higher_academic_support_need_profile
89,10,1,higher_academic_support_need_profile
90,11,0,stronger_academic_profile
91,13,0,stronger_academic_profile
92,12,0,stronger_academic_profile
93,14,0,stronger_academic_profile
94,12,0,stronger_academic_profile
95,13,0,stronger_academic_profile
96,11,1,higher_academic_support_need_profile
97,12,0,stronger_academic_profile
98,13,0,stronger_academic_profile
99,13,0,stronger_academic_profile
100,8,1,higher_academic_support_need_profile
101,16,0,stronger_academic_profile
102,12,0,stronger_academic_profile
103,10,1,higher_academic_support_need_profile
104,16,0,stronger_academic_profile
105,10,0,stronger_academic_profile
106,10,0,stronger_academic_profile
107,14,0,stronger_academic_profile
108,11,0,stronger_academic_profile
109,14,0,stronger_academic_profile
110,14,0,stronger_academic_profile
111,11,0,stronger_academic_profile
112,10,1,higher_academic_support_need_profile
113,18,0,stronger_academic_profile
114,10,1,higher_academic_support_need_profile
115,14,0,stronger_academic_profile
116,16,0,stronger_academic_profile
117,15,0,stronger_academic_profile
118,11,1,higher_academic_support_need_profile
119,14,0,stronger_academic_profile
120,14,0,stronger_academic_profile
121,13,0,stronger_academic_profile
122,13,0,stronger_academic_profile
123,13,0,stronger_academic_profile
124,11,0,stronger_academic_profile
125,9,1,higher_academic_support_need_profile
126,11,1,higher_academic_support_need_profile
127,11,1,higher_academic_support_need_profile
128,15,0,stronger_academic_profile
129,13,0,stronger_academic_profile
130,12,0,stronger_academic_profile
131,8,1,higher_academic_support_need_profile
132,11,1,higher_academic_support_need_profile
133,13,1,higher_academic_support_need_profile
134,12,0,stronger_academic_profile
135,14,0,stronger_academic_profile
136,11,1,higher_academic_support_need_profile
137,11,1,higher_academic_support_need_profile
138,11,0,stronger_academic_profile
139,15,0,stronger_academic_profile
140,10,1,higher_academic_support_need_profile
141,13,0,stronger_academic_profile
142,12,1,higher_academic_support_need_profile
143,11,0,stronger_academic_profile
144,11,1,higher_academic_support_need_profile
145,10,1,higher_academic_support_need_profile
146,10,1,higher_academic_support_need_profile
147,14,0,stronger_academic_profile
148,9,1,higher_academic_support_need_profile
149,11,0,stronger_academic_profile
150,9,1,higher_academic_support_need_profile
151,13,0,stronger_academic_profile
152,11,1,higher_academic_support_need_profile
153,13,0,stronger_academic_profile
154,11,1,higher_academic_support_need_profile
155,6,1,higher_academic_support_need_profile
156,12,0,stronger_academic_profile
157,10,1,higher_academic_support_need_profile
158,11,1,higher_academic_support_need_profile
159,13,0,stronger_academic_profile
160,11,1,higher_academic_support_need_profile
161,8,1,higher_academic_support_need_profile
162,11,1,higher_academic_support_need_profile
163,0,1,higher_academic_support_need_profile
164,10,1,higher_academic_support_need_profile
165,13,0,stronger_academic_profile
166,11,1,higher_academic_support_need_profile
167,13,0,stronger_academic_profile
168,8,1,higher_academic_support_need_profile
169,10,1,higher_academic_support_need_profile
170,11,1,higher_academic_support_need_profile
171,11,1,higher_academic_support_need_profile
172,1,1,higher_academic_support_need_profile
173,10,1,higher_academic_support_need_profile
174,9,1,higher_academic_support_need_profile
175,8,1,higher_academic_support_need_profile
176,10,1,higher_academic_support_need_profile
177,8,1,higher_academic_support_need_profile
178,8,1,higher_academic_support_need_profile
179,8,1,higher_academic_support_need_profile
180,11,1,higher_academic_support_need_profile
181,18,0,stronger_academic_profile
182,13,0,stronger_academic_profile
183,17,0,stronger_academic_profile
184,10,1,higher_academic_support_need_profile
185,18,0,stronger_academic_profile
186,10,1,higher_academic_support_need_profile
187,13,0,stronger_academic_profile
188,15,0,stronger_academic_profile
189,11,1,higher_academic_support_need_profile
190,14,0,stronger_academic_profile
191,10,1,higher_academic_support_need_profile
192,11,1,higher_academic_support_need_profile
193,13,1,higher_academic_support_need_profile
194,11,1,higher_academic_support_need_profile
195,13,0,stronger_academic_profile
196,17,0,stronger_academic_profile
197,14,1,higher_academic_support_need_profile
198,16,0,stronger_academic_profile
199,14,0,stronger_academic_profile
200,11,1,higher_academic_support_need_profile
201,16,0,stronger_academic_profile
202,14,0,stronger_academic_profile
203,10,1,higher_academic_support_need_profile
204,13,0,stronger_academic_profile
205,12,0,stronger_academic_profile
206,12,1,higher_academic_support_need_profile
207,10,1,higher_academic_support_need_profile
208,12,0,stronger_academic_profile
209,16,0,stronger_academic_profile
210,14,0,stronger_academic_profile
211,12,1,higher_academic_support_need_profile
212,16,1,higher_academic_support_need_profile
213,11,1,higher_academic_support_need_profile
214,15,0,stronger_academic_profile
215,12,0,stronger_academic_profile
216,15,0,stronger_academic_profile
217,13,1,higher_academic_support_need_profile
218,13,0,stronger_academic_profile
219,8,1,higher_academic_support_need_profile
220,12,0,stronger_academic_profile
221,15,0,stronger_academic_profile
222,13,0,stronger_academic_profile
223,12,0,stronger_academic_profile
224,12,0,stronger_academic_profile
225,12,0,stronger_academic_profile
226,13,0,stronger_academic_profile
227,11,1,higher_academic_support_need_profile
228,11,1,higher_academic_support_need_profile
229,15,0,stronger_academic_profile
230,10,1,higher_academic_support_need_profile
231,10,1,higher_academic_support_need_profile
232,13,0,stronger_academic_profile
233,13,0,stronger_academic_profile
234,11,1,higher_academic_support_need_profile
235,12,0,stronger_academic_profile
236,14,0,stronger_academic_profile
237,10,1,higher_academic_support_need_profile
238,16,0,stronger_academic_profile
239,8,1,higher_academic_support_need_profile
240,17,0,stronger_academic_profile
241,11,1,higher_academic_support_need_profile
242,11,1,higher_academic_support_need_profile
243,16,0,stronger_academic_profile
244,12,0,stronger_academic_profile
245,13,0,stronger_academic_profile
246,13,0,stronger_academic_profile
247,14,0,stronger_academic_profile
248,9,1,higher_academic_support_need_profile
249,12,0,stronger_academic_profile
250,16,0,stronger_academic_profile
251,10,1,higher_academic_support_need_profile
252,13,0,stronger_academic_profile
253,10,1,higher_academic_support_need_profile
254,10,1,higher_academic_support_need_profile
255,7,1,higher_academic_support_need_profile
256,8,1,higher_academic_support_need_profile
257,9,1,higher_academic_support_need_profile
258,15,0,stronger_academic_profile
259,10,1,higher_academic_support_need_profile
260,11,1,higher_academic_support_need_profile
261,13,0,stronger_academic_profile
262,8,1,higher_academic_support_need_profile
263,8,1,higher_academic_support_need_profile
264,10,1,higher_academic_support_need_profile
265,15,0,stronger_academic_profile
266,14,0,stronger_academic_profile
267,15,0,stronger_academic_profile
268,12,0,stronger_academic_profile
269,15,0,stronger_academic_profile
270,15,0,stronger_academic_profile
271,12,0,stronger_academic_profile
272,15,0,stronger_academic_profile
273,11,0,stronger_academic_profile
274,10,1,higher_academic_support_need_profile
275,11,0,stronger_academic_profile
276,16,0,stronger_academic_profile
277,11,1,higher_academic_support_need_profile
278,13,1,higher_academic_support_need_profile
279,5,1,higher_academic_support_need_profile
280,10,1,higher_academic_support_need_profile
281,11,1,higher_academic_support_need_profile
282,7,1,higher_academic_support_need_profile
283,10,1,higher_academic_support_need_profile
284,6,1,higher_academic_support_need_profile
285,12,0,stronger_academic_profile
286,13,0,stronger_academic_profile
287,10,1,higher_academic_support_need_profile
288,13,0,stronger_academic_profile
289,17,0,stronger_academic_profile
290,11,1,higher_academic_support_need_profile
291,11,1,higher_academic_support_need_profile
292,14,0,stronger_academic_profile
293,14,0,stronger_academic_profile
294,13,1,higher_academic_support_need_profile
295,14,0,stronger_academic_profile
296,16,0,stronger_academic_profile
297,10,1,higher_academic_support_need_profile
298,12,0,stronger_academic_profile
299,12,1,higher_academic_support_need_profile
300,15,0,stronger_academic_profile
301,11,1,higher_academic_support_need_profile
302,12,0,stronger_academic_profile
303,13,0,stronger_academic_profile
304,13,0,stronger_academic_profile
305,9,1,higher_academic_support_need_profile
306,16,0,stronger_academic_profile
307,14,0,stronger_academic_profile
308,12,1,higher_academic_support_need_profile
309,14,1,higher_academic_support_need_profile
310,10,1,higher_academic_support_need_profile
311,12,1,higher_academic_support_need_profile
312,16,0,stronger_academic_profile
313,13,0,stronger_academic_profile
314,18,0,stronger_academic_profile
315,15,0,stronger_academic_profile
316,16,0,stronger_academic_profile
317,12,0,stronger_academic_profile
318,10,1,higher_academic_support_need_profile
319,12,1,higher_academic_support_need_profile
320,13,0,stronger_academic_profile
321,15,0,stronger_academic_profile
322,10,1,higher_academic_support_need_profile
323,10,1,higher_academic_support_need_profile
324,11,1,higher_academic_support_need_profile
325,10,1,higher_academic_support_need_profile
326,13,1,higher_academic_support_need_profile
327,18,0,stronger_academic_profile
328,13,0,stronger_academic_profile
329,14,1,higher_academic_support_need_profile
330,14,0,stronger_academic_profile
331,12,0,stronger_academic_profile
332,18,0,stronger_academic_profile
333,14,0,stronger_academic_profile
334,15,0,stronger_academic_profile
335,17,0,stronger_academic_profile
